trip_year,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,Trips_on_route
2013,40.72955361,-73.98057249,40.73454567,-73.99074142,884
2013,40.74173969,-73.99415556,40.75044999,-73.99481051,879
2013,40.72779126,-73.98564945,40.73028666,-73.9907647,876
2013,40.74691959,-74.00451887,40.75044999,-73.99481051,874
2013,40.71542197,-74.01121978,40.72043411,-74.01020609,873
2013,40.75188406,-73.97770164,40.7457121,-73.98194829,871
2013,40.7575699,-73.99098507,40.76030096,-73.99884222,870
2013,40.751551,-73.993934,40.76370739,-73.9851615,868
2013,40.68940747,-73.96885458,40.689888,-73.981013,868
2013,40.76915505,-73.98191841,40.76019252,-73.9912551,866
2013,40.75640548,-73.9900262,40.75188406,-73.97770164,865
2013,40.73047747,-73.99906065,40.73492695,-73.99200509,865
2013,40.7218158,-73.99720307,40.72710258,-74.00297088,859
2013,40.71273266,-74.0046073,40.7153379,-74.01658354,851
2013,40.71273266,-74.0046073,40.696192,-73.991218,851
2013,40.73291553,-74.00711384,40.71754834,-74.01322069,850
2013,40.75188406,-73.97770164,40.73704984,-73.99009296,845
2013,40.7390169121,-74.0026376103,40.75044999,-73.99481051,844
2013,40.75510267,-73.97498696,40.75640548,-73.9900262,838
2013,40.7457121,-73.98194829,40.74144387,-73.97536082,835
2013,40.71754834,-74.01322069,40.70251526,-74.01427023,833
2013,40.74206539,-74.00443172,40.75044999,-73.99481051,833
2013,40.72740794,-73.98142006,40.73454567,-73.99074142,832
2013,40.75188406,-73.97770164,40.74780373,-73.9734419,829
2013,40.73028666,-73.9907647,40.72521311,-73.97768752,823
2013,40.71754834,-74.01322069,40.73291553,-74.00711384,817
2013,40.71754834,-74.01322069,40.711512,-74.015756,816
2013,40.69597683,-73.99014892,40.71273266,-74.0046073,816
2013,40.739323,-74.008119,40.71754834,-74.01322069,815
2013,40.7652654,-73.98192338,40.76064679,-73.98442659,815
2013,40.73049393,-73.9957214,40.73223272,-73.98889957,815
2013,40.7454973,-74.00197139,40.74206539,-74.00443172,810
2013,40.73028666,-73.9907647,40.72453734,-73.98185424,809
2013,40.71754834,-74.01322069,40.7153379,-74.01658354,806
2013,40.74290902,-73.97706058,40.73912601,-73.97973776,804
2013,40.75188406,-73.97770164,40.7423543,-73.98915076,804
2013,40.71273266,-74.0046073,40.71542197,-74.01121978,804
2013,40.71291224,-74.01020234,40.7047177,-74.00926027,802
2013,40.74475148,-73.99915362,40.74691959,-74.00451887,800
2013,40.711512,-74.015756,40.71542197,-74.01121978,799
2013,40.696192,-73.991218,40.71273266,-74.0046073,799
2013,40.71534825,-73.96024116,40.71285887,-73.96590294,799
2013,40.7652654,-73.98192338,40.75320159,-73.9779874,794
2013,40.71754834,-74.01322069,40.70463334,-74.01361706,787
2013,40.74475148,-73.99915362,40.7403432,-73.98955109,787
2013,40.73454567,-73.99074142,40.73028666,-73.9907647,786
2013,40.73492695,-73.99200509,40.73649403,-73.99704374,785
2013,40.74734825,-73.99723551,40.75066386,-74.00176802,784
2013,40.73454567,-73.99074142,40.73049393,-73.9957214,779
2013,40.75019995,-73.99093085,40.7457121,-73.98194829,777
2013,40.71754834,-74.01322069,40.739323,-74.008119,776
2013,40.73971301,-73.99456405,40.73704984,-73.99009296,774
2013,40.752062307,-73.9816324043,40.74780373,-73.9734419,774
2013,40.73038599,-74.00214988,40.73172428,-74.00674436,769
2013,40.7172274,-73.98802084,40.714215,-73.981346,769
2013,40.75044999,-73.99481051,40.75066386,-74.00176802,767
2013,40.71291224,-74.01020234,40.70255065,-74.0127234,766
2013,40.71754834,-74.01322069,40.746745,-74.007756,765
2013,40.7390169121,-74.0026376103,40.73492695,-73.99200509,765
2013,40.69196566,-73.9813018,40.693261,-73.968896,764
2013,40.76030096,-73.99884222,40.751551,-73.993934,759
2013,40.7457121,-73.98194829,40.75188406,-73.97770164,759
2013,40.74487634,-73.99529885,40.74691959,-74.00451887,757
2013,40.75660359,-73.9979009,40.751551,-73.993934,756
2013,40.73454567,-73.99074142,40.72740794,-73.98142006,754
2013,40.75044999,-73.99481051,40.76227205,-73.98788205,753
2013,40.73047309,-73.98672378,40.73454567,-73.99074142,752
2013,40.76584941,-73.98690506,40.76019252,-73.9912551,751
2013,40.74177603,-74.00149746,40.74691959,-74.00451887,751
2013,40.73172428,-74.00674436,40.7390169121,-74.0026376103,750
2013,40.71291224,-74.01020234,40.71743998,-74.00583475,750
2013,40.746745,-74.007756,40.75044999,-73.99481051,750
2013,40.71291224,-74.01020234,40.70717936,-74.00887308,750
2013,40.73704984,-73.99009296,40.75188406,-73.97770164,749
2013,40.75188406,-73.97770164,40.74025878,-73.98409214,748
2013,40.75149263,-73.97798848,40.75019995,-73.99093085,748
2013,40.71044554,-73.96525063,40.71534825,-73.96024116,743
2013,40.75640548,-73.9900262,40.76340613,-73.97722479,740
2013,40.710451,-73.960876,40.71534825,-73.96024116,738
2013,40.69089272,-73.99612349,40.69760127,-73.99344559,734
2013,40.76590936,-73.97634151,40.76695317,-73.98169333,733
2013,40.7153379,-74.01658354,40.71273266,-74.0046073,732
2013,40.73221853,-73.98165557,40.73704984,-73.99009296,731
2013,40.74173969,-73.99415556,40.73935542,-73.99931783,730
2013,40.69308257,-73.97178913,40.689888,-73.981013,729
2013,40.74734825,-73.99723551,40.749717753,-74.002950346,729
2013,40.75044999,-73.99481051,40.75929124,-73.98859651,728
2013,40.70717936,-74.00887308,40.71291224,-74.01020234,728
2013,40.74290902,-73.97706058,40.73047309,-73.98672378,727
2013,40.75188406,-73.97770164,40.74147286,-73.98320928,727
2013,40.70834698,-74.01713445,40.70463334,-74.01361706,726
2013,40.73416059,-73.98024289,40.73704984,-73.99009296,726
2013,40.749717753,-74.002950346,40.75044999,-73.99481051,724
2013,40.73492695,-73.99200509,40.73047747,-73.99906065,721
2013,40.74345335,-74.00004031,40.75044999,-73.99481051,721
2013,40.73704984,-73.99009296,40.73935542,-73.99931783,718
2013,40.73221853,-73.98165557,40.736502,-73.97809472,717
2013,40.75066386,-74.00176802,40.75044999,-73.99481051,715
2013,40.73291553,-74.00711384,40.7390169121,-74.0026376103,711
2013,40.76340613,-73.97722479,40.76915505,-73.98191841,710
2013,40.76915505,-73.98191841,40.76095756,-73.96724467,708
2013,40.73038599,-74.00214988,40.72873888,-74.00748842,706
2013,40.7153379,-74.01658354,40.70463334,-74.01361706,705
2013,40.74394314,-73.97966069,40.749156,-73.9916,704
2013,40.714215,-73.981346,40.7172274,-73.98802084,704
2013,40.76695317,-73.98169333,40.76095756,-73.96724467,702
2013,40.75019995,-73.99093085,40.75188406,-73.97770164,701
2014,40.75320159,-73.9779874,40.75640548,-73.9900262,3769
2014,40.7643971,-73.97371465,40.76915505,-73.98191841,3326
2014,40.74177603,-74.00149746,40.75044999,-73.99481051,3244
2014,40.74173969,-73.99415556,40.7454973,-74.00197139,3119
2014,40.74173969,-73.99415556,40.74691959,-74.00451887,3023
2014,40.72621788,-73.98379855,40.73028666,-73.9907647,3008
2014,40.75320159,-73.9779874,40.75019995,-73.99093085,2999
2014,40.73049393,-73.9957214,40.73492695,-73.99200509,2959
2014,40.75044999,-73.99481051,40.751396,-74.005226,2717
2014,40.70834698,-74.01713445,40.7153379,-74.01658354,2699
2014,40.76087502,-74.00277668,40.71754834,-74.01322069,2696
2014,40.73028666,-73.9907647,40.72740794,-73.98142006,2625
2014,40.72740794,-73.98142006,40.73028666,-73.9907647,2622
2014,40.76915505,-73.98191841,40.7643971,-73.97371465,2541
2014,40.7153379,-74.01658354,40.70834698,-74.01713445,2485
2014,40.72043411,-74.01020609,40.71542197,-74.01121978,2465
2014,40.71542197,-74.01121978,40.71273266,-74.0046073,2445
2014,40.7457121,-73.98194829,40.74290902,-73.97706058,2416
2014,40.73028666,-73.9907647,40.72621788,-73.98379855,2412
2014,40.751396,-74.005226,40.75044999,-73.99481051,2399
2014,40.714215,-73.981346,40.7172274,-73.98802084,2342
2014,40.76590936,-73.97634151,40.76915505,-73.98191841,2341
2014,40.7153379,-74.01658354,40.72043411,-74.01020609,2321
2014,40.7218158,-73.99720307,40.73028666,-73.9907647,2305
2014,40.74691959,-74.00451887,40.74475148,-73.99915362,2211
2014,40.7643971,-73.97371465,40.76590936,-73.97634151,2204
2014,40.711512,-74.015756,40.7153379,-74.01658354,2197
2014,40.7172274,-73.98802084,40.714215,-73.981346,2130
2014,40.74691959,-74.00451887,40.74173969,-73.99415556,2116
2014,40.7153379,-74.01658354,40.70569254,-74.01677685,2091
2014,40.71754834,-74.01322069,40.76087502,-74.00277668,2082
2014,40.714215,-73.981346,40.71427487,-73.98990025,2045
2014,40.71542197,-74.01121978,40.711512,-74.015756,2038
2014,40.752416,-73.97837,40.75019995,-73.99093085,2017
2014,40.70569254,-74.01677685,40.7153379,-74.01658354,2011
2014,40.73492695,-73.99200509,40.7390169121,-74.0026376103,1992
2014,40.72043411,-74.01020609,40.7153379,-74.01658354,1983
2014,40.72456089,-73.99565293,40.73028666,-73.9907647,1978
2014,40.75066386,-74.00176802,40.75044999,-73.99481051,1968
2014,40.749156,-73.9916,40.74096374,-73.98602213,1965
2014,40.74173969,-73.99415556,40.74475148,-73.99915362,1960
2014,40.73704984,-73.99009296,40.74177603,-74.00149746,1953
2014,40.73028666,-73.9907647,40.73704984,-73.99009296,1933
2014,40.76370739,-73.9851615,40.76669671,-73.99061728,1924
2014,40.75044999,-73.99481051,40.74206539,-74.00443172,1883
2014,40.74394314,-73.97966069,40.749156,-73.9916,1869
2014,40.75044999,-73.99481051,40.74317449,-74.00366443,1862
2014,40.76590936,-73.97634151,40.7643971,-73.97371465,1830
2014,40.751551,-73.993934,40.75660359,-73.9979009,1828
2014,40.7643971,-73.97371465,40.76695317,-73.98169333,1806
2014,40.68940747,-73.96885458,40.689888,-73.981013,1804
2014,40.71427487,-73.98990025,40.714215,-73.981346,1803
2014,40.711512,-74.015756,40.71542197,-74.01121978,1801
2014,40.72955361,-73.98057249,40.73454567,-73.99074142,1796
2014,40.76695317,-73.98169333,40.7643971,-73.97371465,1796
2014,40.74206539,-74.00443172,40.75044999,-73.99481051,1790
2014,40.75640548,-73.9900262,40.75320159,-73.9779874,1780
2014,40.75510267,-73.97498696,40.75640548,-73.9900262,1779
2014,40.75044999,-73.99481051,40.76227205,-73.98788205,1779
2014,40.70463334,-74.01361706,40.711512,-74.015756,1772
2014,40.74144387,-73.97536082,40.75019995,-73.99093085,1759
2014,40.72453734,-73.98185424,40.73028666,-73.9907647,1754
2014,40.749156,-73.9916,40.7423543,-73.98915076,1751
2014,40.74734825,-73.99723551,40.75066386,-74.00176802,1746
2014,40.711512,-74.015756,40.70463334,-74.01361706,1741
2014,40.72621788,-73.98379855,40.728145,-73.990214,1739
2014,40.73028666,-73.9907647,40.73454567,-73.99074142,1735
2014,40.74691959,-74.00451887,40.75044999,-73.99481051,1732
2014,40.7423543,-73.98915076,40.73704984,-73.99009296,1727
2014,40.69308257,-73.97178913,40.689888,-73.981013,1727
2014,40.71542197,-74.01121978,40.70834698,-74.01713445,1727
2014,40.72521311,-73.97768752,40.73028666,-73.9907647,1724
2014,40.76370739,-73.9851615,40.76915505,-73.98191841,1720
2014,40.711512,-74.015756,40.70569254,-74.01677685,1717
2014,40.74691959,-74.00451887,40.7403432,-73.98955109,1714
2014,40.71754834,-74.01322069,40.70834698,-74.01713445,1708
2014,40.72740794,-73.98142006,40.73454567,-73.99074142,1703
2014,40.73454567,-73.99074142,40.72903917,-73.99404649,1697
2014,40.71273266,-74.0046073,40.69597683,-73.99014892,1696
2014,40.74444921,-73.98303529,40.749156,-73.9916,1690
